Model,Scenario,Precision,Recall,F1-Score
Logistic Regression,Tabular Only,0.6554054054054054,0.7687645687645688,0.7075734820853894
Logistic Regression,Graph Only,0.29073756432247,0.47412587412587415,0.36044657097288674
Logistic Regression,Tabular + Graph,0.7234963219385547,0.7794871794871795,0.7504488330341114
Logistic Regression,[Delta] Improvement (Combined vs Tabular),0.06809091653314936,0.010722610722610715,0.04287535094872197
Random Forest,Tabular Only,0.9057358826144953,0.9496503496503497,0.9271734182976786
Random Forest,Graph Only,0.16781365802011647,0.14778554778554778,0.15716410510659395
Random Forest,Tabular + Graph,0.8297297297297297,0.2862470862470862,0.42564991334488733
Random Forest,[Delta] Improvement (Combined vs Tabular),-0.07600615288476564,-0.6634032634032634,-0.5015235049527913
XGBoost,Tabular Only,0.9111709286675639,0.9468531468531468,0.9286694101508917
XGBoost,Graph Only,0.11056042699199391,0.1351981351981352,0.12164429530201343
XGBoost,Tabular + Graph,0.9234338747099768,0.5566433566433566,0.6945898778359512
XGBoost,[Delta] Improvement (Combined vs Tabular),0.012262946042412959,-0.3902097902097902,-0.2340795323149405
LightGBM,Tabular Only,0.9208010923987255,0.9431235431235431,0.9318286503915246
LightGBM,Graph Only,0.3765730880929332,0.18135198135198136,0.2448080553807426
LightGBM,Tabular + Graph,0.91792656587473,0.5944055944055944,0.7215619694397284
LightGBM,[Delta] Improvement (Combined vs Tabular),-0.0028745265239955575,-0.3487179487179487,-0.21026668095179624
